id_produto;pn;nome;local_catalogo;status_catalogo;qty_catalogo;qty_estoque_disponivel;diferenca;cadastros_no_catalogo;ids_duplicados;classificacao
92;334-S-617;SCREW;C3;ATIVO;2;0.000;2.000;1;92;SEM_ENTRADA_NO_MODULO_ESTOQUE
29;343300;SPRING;D3;ATIVO;2;0.000;2.000;1;29;SEM_ENTRADA_NO_MODULO_ESTOQUE
553;801087009;PACKING;;ATIVO;2;0.000;2.000;1;553;SEM_ENTRADA_NO_MODULO_ESTOQUE
324;900847K1;NUT;B1;ATIVO;2;0.000;2.000;1;324;SEM_ENTRADA_NO_MODULO_ESTOQUE
398;93030-35;SEAL;;ATIVO;2;0.000;2.000;1;398;SEM_ENTRADA_NO_MODULO_ESTOQUE
45;951387;PACKING;C1;ATIVO;48;46.000;2.000;1;45;CATALOGO_MAIOR_QUE_ESTOQUE
59;951402;PACKING;B6;ATIVO;2;0.000;2.000;1;59;SEM_ENTRADA_NO_MODULO_ESTOQUE
142;953504-159;SCREW;C2;ATIVO;2;0.000;2.000;1;142;SEM_ENTRADA_NO_MODULO_ESTOQUE
235;MS16625-4075;RING;;ATIVO;2;0.000;2.000;1;235;SEM_ENTRADA_NO_MODULO_ESTOQUE
237;217196;RING;;ATIVO;1;0.000;1.000;1;237;SEM_ENTRADA_NO_MODULO_ESTOQUE
66;2520488;GASKET;C4;ATIVO;1;0.000;1.000;1;66;SEM_ENTRADA_NO_MODULO_ESTOQUE
624;2522114;PACKING;;ATIVO;1;0.000;1.000;1;624;SEM_ENTRADA_NO_MODULO_ESTOQUE
157;2529551;NUT;A7;ATIVO;1;0.000;1.000;1;157;SEM_ENTRADA_NO_MODULO_ESTOQUE
438;2529913;GASKET;;ATIVO;1;0.000;1.000;1;438;SEM_ENTRADA_NO_MODULO_ESTOQUE
269;3010880;GASKET;B1;ATIVO;1;0.000;1.000;1;269;SEM_ENTRADA_NO_MODULO_ESTOQUE
332;3039937;GASKET;A3;ATIVO;1;0.000;1.000;1;332;SEM_ENTRADA_NO_MODULO_ESTOQUE
188;3240363;PACKING;B4;ATIVO;1;0.000;1.000;1;188;SEM_ENTRADA_NO_MODULO_ESTOQUE
746;3242621;BEARING BALL;;ATIVO;1;0.000;1.000;1;746;SEM_ENTRADA_NO_MODULO_ESTOQUE
213;3244112;AEROSUITE;B6;ATIVO;1;0.000;1.000;1;213;SEM_ENTRADA_NO_MODULO_ESTOQUE
93;334-S-645;SCREW;C3;ATIVO;1;0.000;1.000;1;93;SEM_ENTRADA_NO_MODULO_ESTOQUE
421;540-1185-1;DIAFRAGMA;;ATIVO;0;1.000;-1.000;1;421;ESTOQUE_MAIOR_QUE_CATALOGO
554;801087008;PACKING;;ATIVO;1;0.000;1.000;1;554;SEM_ENTRADA_NO_MODULO_ESTOQUE
555;801087010;PACKING;;ATIVO;1;0.000;1.000;1;555;SEM_ENTRADA_NO_MODULO_ESTOQUE
47;951389;PACKING;A4;ATIVO;75;76.000;-1.000;1;47;ESTOQUE_MAIOR_QUE_CATALOGO
55;951396;PACKING;B1;ATIVO;37;36.000;1.000;1;55;CATALOGO_MAIOR_QUE_ESTOQUE
58;951401;PACKING;C5;ATIVO;1;0.000;1.000;1;58;SEM_ENTRADA_NO_MODULO_ESTOQUE
141;953504-157;SCREW;;ATIVO;1;0.000;1.000;1;141;SEM_ENTRADA_NO_MODULO_ESTOQUE
143;953504-482;SCREW;D1;ATIVO;1;0.000;1.000;1;143;SEM_ENTRADA_NO_MODULO_ESTOQUE
145;99-4944;SEAL;D1;ATIVO;0;1.000;-1.000;2;145,556;ESTOQUE_MAIOR_QUE_CATALOGO
623;AS3209-015;PACKING;;ATIVO;1;0.000;1.000;1;623;SEM_ENTRADA_NO_MODULO_ESTOQUE
270;CA3118962-01;GASKET;B1;ATIVO;1;0.000;1.000;1;270;SEM_ENTRADA_NO_MODULO_ESTOQUE
551;FCU-866925;FCU PN 438008-3 SN 25247;;ATIVO;1;0.000;1.000;1;551;SEM_ENTRADA_NO_MODULO_ESTOQUE
622;RM540-1185-1;DIAPHRAGM;;ATIVO;8;7.000;1.000;1;622;CATALOGO_MAIOR_QUE_ESTOQUE
